Poll,Date,Sample,Sanders,Buttigieg,Klobuchar,Warren,Biden,Yang,Gabbard,Steyer,Patrick,Bennet,Spread
Final Results,--,--,25.7,24.4,19.8,9.2,8.4,2.8,3.3,3.6,0.4,0.3,Sanders +1.3
RCP Average,2/6 - 2/9,--,28.7,21.3,11.7,11.0,11.0,3.7,3.3,1.7,1.0,0.3,Sanders +7.4
Boston Globe/SuffolkSuffolk,2/8 - 2/9,500 LV,27,19,14,12,12,3,3,2,1,0,Sanders +8
WHDH/EmersonEmerson,2/8 - 2/9,500 LV,30,23,14,11,10,4,2,2,1,1,Sanders +7
CNN/UNHCNN/UNH,2/6 - 2/9,365 LV,29,22,7,10,11,4,5,1,--,0,Sanders +7
Boston Globe/SuffolkSuffolk,2/7 - 2/8,500 LV,24,22,9,13,10,3,2,2,0,0,Sanders +2
WHDH/EmersonEmerson,2/7 - 2/8,500 LV,30,20,13,12,11,4,3,2,1,0,Sanders +10
Boston Globe/SuffolkSuffolk,2/6 - 2/7,500 LV,24,25,6,14,11,3,2,2,0,1,Buttigieg +1
WHDH/EmersonEmerson,2/6 - 2/7,500 LV,31,24,9,11,11,3,5,2,0,0,Sanders +7
CNN/UNHCNN/UNH,2/5 - 2/8,384 LV,28,21,6,9,12,4,5,2,0,0,Sanders +7
CBS News/YouGovCBS News,2/5 - 2/8,848 LV,29,25,10,17,12,1,2,1,1,0,Sanders +4
Boston Herald/FPUHerald,2/5 - 2/8,512 LV,23,20,6,16,14,3,0,2,0,1,Sanders +3
UMass LowellUMLowell,2/4 - 2/7,440 LV,25,17,8,15,14,3,4,5,1,1,Sanders +8
CNN/UNHCNN/UNH,2/4 - 2/7,356 LV,28,21,5,9,11,3,6,3,0,0,Sanders +7
Boston Globe/SuffolkSuffolk,2/5 - 2/6,500 LV,24,23,6,13,11,3,4,3,1,1,Sanders +1
WHDH/EmersonEmerson,2/5 - 2/6,500 LV,32,23,9,13,11,2,6,2,0,0,Sanders +9
NBC News/MaristNBC/Marist,2/4 - 2/6,709 LV,25,21,8,14,13,4,3,4,1,1,Sanders +4
Boston Globe/SuffolkSuffolk,2/4 - 2/5,500 LV,25,19,6,11,12,2,5,4,0,0,Sanders +6
MonmouthMonmouth,2/3 - 2/5,503 LV,24,20,9,13,17,4,4,3,0,1,Sanders +4
WHDH/EmersonEmerson,2/3 - 2/5,500 LV,31,21,11,12,12,5,5,1,0,0,Sanders +10
Boston Globe/SuffolkSuffolk,2/3 - 2/4,500 LV,24,15,6,10,15,3,5,5,0,0,Sanders +9
WHDH/EmersonEmerson,2/2 - 2/4,500 LV,32,17,11,11,13,6,6,2,1,0,Sanders +15
Boston Globe/SuffolkSuffolk,2/2 - 2/3,500 LV,24,11,6,13,18,3,5,4,1,1,Sanders +6
WHDH/EmersonEmerson,2/1 - 2/3,500 LV,32,12,12,13,13,5,4,5,0,0,Sanders +19
WHDH/EmersonEmerson,1/31 - 2/2,500 LV,29,13,8,12,14,7,7,8,0,0,Sanders +15
St. AnselmSt. Anselm,1/29 - 2/2,491 LV,19,14,11,11,19,4,3,5,0,0,Tie
Boston Herald/FPUHerald,1/29 - 2/1,454 LV,31,8,4,17,24,1,3,0,0,1,Sanders +7
