date,bennet,biden,bloomberg,buttigieg,gabbard,klobuchar,patrick,sanders,steyer,warren,yang
2020-01-21,0.25,16.25,0,15.25,5.25,6.75,0.5,25.25,0,13.75,4.75
2020-01-22,0.3333333333333333,17.0,0,14.666666666666666,5.333333333333333,7.0,0.3333333333333333,24.0,0,14.0,4.666666666666667
2020-01-23,0.75,18.25,0,13.5,4.75,6.5,0.25,25.25,0,14.5,3.75
2020-01-24,1.0,21.0,0,11.0,4.0,5.0,0.0,27.0,0,16.5,2.5
2020-01-25,1.0,21.0,0,11.0,4.0,5.0,0.0,27.0,0,16.5,2.5
2020-01-26,1.0,21.0,0,11.0,4.0,5.0,0.0,27.0,0,16.5,2.5
2020-01-27,0.0,20.0,0,12.0,5.0,5.0,0.0,25.0,0,17.0,4.0
2020-01-28,0.0,21.0,0,12.0,5.0,5.5,0.0,24.0,0,18.0,3.0
2020-01-29,0.25,21.25,0,11.5,4.0,6.5,0.0,24.5,0,16.0,2.75
2020-01-30,0.3333333333333333,21.666666666666668,0,11.333333333333334,3.6666666666666665,7.0,0.0,24.333333333333332,0,15.666666666666666,2.3333333333333335
2020-01-31,0.25,19.75,0,11.75,4.5,7.25,0.0,25.5,0,14.75,3.5
2020-02-01,0.25,17.5,0,11.75,4.25,8.75,0.0,27.75,0,13.25,4.25
2020-02-02,0.2,15.4,0,13.4,5.0,9.6,0.4,27.2,0,12.0,5.0
2020-02-03,0.3333333333333333,14.666666666666666,0,16.0,4.833333333333333,9.166666666666666,0.3333333333333333,27.833333333333332,0,12.0,4.333333333333333
2020-02-04,0.375,13.375,0,18.875,4.75,8.0,0.375,26.75,0,11.875,3.75
2020-02-05,0.45454545454545453,12.636363636363637,0,21.0,4.0,7.636363636363637,0.36363636363636365,26.727272727272727,0,12.909090909090908,3.090909090909091
2020-02-06,0.44166666666666665,11.833333333333334,0,21.941666666666666,3.775,7.641666666666667,0.45454545454545453,27.224999999999998,0,12.666666666666666,3.0583333333333336
2020-02-07,0.3,11.636363636363637,0,21.663636363636364,3.3909090909090907,8.245454545454546,0.4,27.245454545454546,0,12.454545454545455,3.1545454545454548
2020-02-08,0.25555555555555554,11.444444444444445,0,21.477777777777778,2.8111111111111113,10.077777777777778,0.625,27.633333333333333,0,12.333333333333334,3.3
2020-02-09,0.325,11.0,0,21.325,3.325,11.675,1.0,28.675,0,11.0,3.675
