Candidate,Total S.D.E.s*,Pct.,,Pledged delegates Del.
Biden Joseph R. Biden Jr.,"568,581",43.0%,,67
Sanders Bernie Sanders,"318,872",24.1%,,37
Bloomberg Michael R. Bloomberg,"171,823",13.0%,,4
Warren Elizabeth Warren,"138,502",10.5%,,2
Buttigieg Pete Buttigieg,"43,368",3.3%,,0
Klobuchar Amy Klobuchar,"30,641",2.3%,,0
No Preference No Preference,"21,710",1.6%,,0
Steyer Tom Steyer,"10,715",0.8%,,0
Gabbard Tulsi Gabbard,"6,649",0.5%,,0
Yang Andrew Yang,"3,021",0.2%,,0
Booker Cory Booker,"2,197",0.2%,,0
Bennet Michael Bennet,"1,984",0.1%,,0
Patrick Deval Patrick,"1,349",0.1%,,0
Williamson Marianne Williamson,"1,281",0.1%,,0
Delaney John Delaney,"1,115",0.1%,,0
Castro Julián Castro,772,0.1%,,0
