raw_tweets_biden.txt_0_233	subj
raw_tweets_biden.txt_234_541	unknown
raw_tweets_biden.txt_542_704	unknown
raw_tweets_biden.txt_705_807	obj
raw_tweets_biden.txt_808_938	obj
raw_tweets_biden.txt_939_1156	obj
raw_tweets_biden.txt_1157_1335	obj
raw_tweets_biden.txt_1336_1582	obj
raw_tweets_biden.txt_1583_1811	unknown
raw_tweets_biden.txt_1812_2023	unknown
raw_tweets_biden.txt_2024_2053	unknown
raw_tweets_biden.txt_2054_2341	unknown
raw_tweets_biden.txt_2342_2570	unknown
raw_tweets_biden.txt_2571_2740	unknown
raw_tweets_biden.txt_2741_3120	unknown
raw_tweets_biden.txt_3121_3497	unknown
raw_tweets_biden.txt_3498_3667	unknown
raw_tweets_biden.txt_3668_3829	unknown
raw_tweets_biden.txt_3830_4092	unknown
raw_tweets_biden.txt_4093_4297	unknown
raw_tweets_biden.txt_4298_4606	unknown
raw_tweets_biden.txt_4607_4747	unknown
raw_tweets_biden.txt_4748_4931	unknown
raw_tweets_biden.txt_4932_5211	unknown
raw_tweets_biden.txt_5212_5464	unknown
raw_tweets_biden.txt_5465_5693	unknown
raw_tweets_biden.txt_5694_5952	obj
raw_tweets_biden.txt_5953_6072	obj
raw_tweets_biden.txt_6073_6100	obj
raw_tweets_biden.txt_6101_6318	obj
raw_tweets_biden.txt_6319_6488	unknown
raw_tweets_biden.txt_6489_6717	unknown
raw_tweets_biden.txt_6718_6901	unknown
raw_tweets_biden.txt_6902_7097	unknown
raw_tweets_biden.txt_7098_7143	obj
raw_tweets_biden.txt_7145_7158	unknown
raw_tweets_biden.txt_7159_7382	obj
raw_tweets_biden.txt_7383_7539	obj
raw_tweets_biden.txt_7540_7708	obj
raw_tweets_biden.txt_7709_7866	obj
raw_tweets_biden.txt_7867_8035	obj
raw_tweets_biden.txt_8036_8204	obj
raw_tweets_biden.txt_8205_8248	obj
raw_tweets_biden.txt_8249_8429	obj
raw_tweets_biden.txt_8430_8575	obj
raw_tweets_biden.txt_8576_8760	unknown
raw_tweets_biden.txt_8761_9185	unknown
raw_tweets_biden.txt_9186_9610	unknown
raw_tweets_biden.txt_9611_9823	unknown
raw_tweets_biden.txt_9824_10003	unknown
raw_tweets_biden.txt_10004_10212	unknown
raw_tweets_biden.txt_10213_10425	unknown
raw_tweets_biden.txt_10426_10605	unknown
raw_tweets_biden.txt_10606_10814	unknown
raw_tweets_biden.txt_10815_11041	unknown
raw_tweets_biden.txt_11042_11268	obj
