Poll,Date,Sample,Biden,Sanders,Bloomberg,Warren,Klobuchar,Buttigieg,Gabbard,Spread
Final Results,--,--,43.0,24.1,13.0,10.5,2.3,3.3,0.5,Biden +18.9
RCP Average,2/27 - 3/2,--,36.7,23.3,14.3,10.7,3.3,3.3,1.0,Biden +13.4
Civitas (R)Civitas (R),3/1 - 3/2,543 LV,45,18,11,7,3,3,--,Biden +27
Data for Progress (D)DFP (D),2/28 - 3/2,334 LV,36,27,18,14,2,3,1,Biden +9
East Carolina U.ECU,2/27 - 2/28,499 LV,29,25,14,11,5,4,1,Biden +4
Civitas (R)Civitas (R),2/26 - 2/27,587 LV,27,19,16,11,5,4,--,Biden +8
NBC News/MaristNBC/Marist,2/23 - 2/27,568 LV,24,26,15,11,5,7,1,Sanders +2
Data for Progress (D)DFP (D),2/23 - 2/27,536 LV,25,27,18,11,6,10,1,Sanders +2
PPP (D)PPP (D),2/23 - 2/24,852 LV,23,20,17,11,4,9,1,Biden +3
High PointHigh Point,2/21 - 2/28,274 LV,14,28,20,12,4,8,1,Sanders +8
Civitas (R)Civitas (R),2/21 - 2/23,561 LV,20,20,20,9,6,3,--,Tie
UMass LowellUMLowell,2/12 - 2/18,450 LV,16,23,19,13,7,10,3,Sanders +4
WRAL-TV/SurveyUSAWRAL-TV,2/13 - 2/16,698 LV,20,22,22,8,5,11,--,Tie
PPP (D)PPP (D),2/4 - 2/5,604 LV,25,16,14,12,5,9,--,Biden +9
High PointHigh Point,1/31 - 2/6,225 LV,24,20,16,11,3,8,2,Biden +4
PPP (D)PPP (D),1/10 - 1/12,509 LV,31,18,8,15,3,6,--,Biden +13
FOX NewsFOX News,11/10 - 11/13,669 LV,37,14,--,15,1,6,2,Biden +22
High PointHigh Point,11/1 - 11/7,347 A,33,18,--,13,3,4,1,Biden +15
NY Times/SienaNYT/Siena,10/13 - 10/26,292 LV,29,13,--,15,0,1,1,Biden +14
East Carolina U.ECU,10/2 - 10/9,291 LV,29,19,--,17,3,4,0,Biden +10
PPP (D)PPP (D),10/4 - 10/6,410 LV,39,6,--,22,--,9,--,Biden +17
High PointHigh Point,9/13 - 9/19,348 RV,31,20,--,15,1,3,--,Biden +11
Civitas/SurveyUSACivitas/SurveyUSA,8/1 - 8/5,534 LV,36,15,--,13,0,5,1,Biden +21
EmersonEmerson,5/31 - 6/3,397 4.9,39,22,--,15,1,8,0,Biden +17
