date,bennet,biden,bloomberg,buttigieg,gabbard,klobuchar,patrick,sanders,steyer,warren,yang
2020-02-12,0,16.0,19.0,0,3.0,0,0,23.0,0,13.0,0
2020-02-13,0,18.0,20.5,0,3.0,0,0,22.5,0,10.5,0
2020-02-14,0,18.0,20.5,0,3.0,0,0,22.5,0,10.5,0
2020-02-15,0,18.0,20.5,0,3.0,0,0,22.5,0,10.5,0
2020-02-16,0,18.0,20.5,0,3.0,0,0,22.5,0,10.5,0
2020-02-17,0,16.0,19.0,0,3.0,0,0,23.0,0,13.0,0
2020-02-18,0,16.0,19.0,0,3.0,0,0,23.0,0,13.0,0
2020-02-21,0,17.0,20.0,0,1.0,0,0,24.0,0,10.5,0
2020-02-22,0,17.0,20.0,0,1.0,0,0,24.0,0,10.5,0
2020-02-23,0,21.2,18.0,0,1.0,0,0,24.2,0,10.8,0
2020-02-24,0,21.5,17.5,0,1.0,0,0,25.25,0,11.25,0
2020-02-25,0,21.0,17.666666666666668,0,1.0,0,0,27.0,0,11.333333333333334,0
2020-02-26,0,22.5,17.25,0,1.0,0,0,25.0,0,11.25,0
2020-02-27,0,25.95,16.216666666666665,0,1.0,0,0,24.71666666666667,0,11.116666666666667,0
2020-02-28,0,28.925,16.575,0,1.0,0,0,25.825,0,11.925,0
2020-02-29,0,36.35,16.15,0,1.0,0,0,25.15,0,12.35,0
2020-03-01,0,39.233333333333334,14.433333333333332,0,1.0,0,0,22.766666666666666,0,10.566666666666666,0
2020-03-02,0,39.233333333333334,14.433333333333332,0,1.0,0,0,22.766666666666666,0,10.566666666666666,0
