Word,Polarity
top,weakpos
blunt,weakneg
,neutral
bother,strongneg
Challenges,weakneg
proud,strongpos
simple,weakpos
trying,weakneg
convince,weakpos
moderate,weakpos
believe,neutral
rights,weakpos
frank,weakpos
demoralizing,strongneg
sacred,strongpos
reservations,weakneg
blood,weakneg
drama,weakneg
syndrome,weakneg
Full,neutral
lovers,strongpos
so,neutral
decided,neutral
would,neutral
easily,strongpos
verifiable,weakpos
false,weakneg
popular,weakpos
know,neutral
destroy,strongneg
democratic,weakpos
punches,strongneg
just,strongpos
screwed,strongneg
fight,strongneg
afraid,strongneg
primary,neutral
must,neutral
help,weakpos
could,neutral
fail,strongneg
miserably,strongneg
even,weakpos
revoked,strongneg
sorry,strongneg
too,strongneg
irresponsible,strongneg
enough,neutral
most,neutral
split,weakneg
actually,neutral
wanted,strongpos
else,neutral
certains,neutral
though,neutral
open,weakpos
feel,neutral
very,neutral
important,weakpos
smiles,strongpos
Just,strongpos
Great,weakpos
Primary,neutral
absentee,weakneg
concern,strongneg
forced,strongneg
trouble,strongneg
think,neutral
enemy,strongneg
mostly,neutral
true,strongpos
well,strongpos
meaning,neutral
ignoring,weakneg
patient,weakpos
endorsement,strongpos
overdue,strongneg
independent,strongpos
show,neutral
bad,strongneg
good,strongpos
celebrated,strongpos
challenge,weakneg
happy,strongpos
nightmare,strongneg
looks,neutral
judgement,neutral
least,weakneg
disappointing,strongneg
still,neutral
optimistic,strongpos
full,neutral
slaughter,strongneg
against,weakneg
Little,weakneg
Big,neutral
problem,strongneg
endorsing,strongpos
interest,strongpos
However,neutral
honest,strongpos
assessing,neutral
right,weakpos
progressive,weakpos
need,neutral
wants,strongpos
activists,neutral
lost,strongneg
illegal,strongneg
needs,neutral
reason,strongpos
look,neutral
little,weakneg
