Word,Polarity
supporters,strongpos
palatable,strongpos
propaganda,strongneg
dangerous,strongneg
backed,weakpos
well,strongpos
advocate,strongpos
reparations,weakpos
wants,strongpos
would,neutral
appropriate,strongpos
just,strongpos
racism,strongneg
democratic,weakpos
trump,strongpos
might,neutral
wonder,strongpos
primary,neutral
fake,strongneg
good,strongpos
evil,strongneg
schemes,weakneg
most,neutral
corrupt,strongneg
need,neutral
big,neutral
silly,weakneg
preferences,weakpos
irrelevant,strongneg
white,weakpos
little,weakneg
matter,neutral
consciousness,neutral
must,neutral
true,strongpos
sad,strongneg
so,neutral
think,neutral
successful,strongpos
show,neutral
compassionate,strongpos
allowed,weakpos
close,weakneg
loyal,strongpos
support,strongpos
want,strongpos
accurate,strongpos
important,weakpos
Sure,weakpos
hope,strongpos
careful,weakpos
assumptions,neutral
So,neutral
decide,neutral
weird,strongneg
Okay,strongpos
seems,neutral
very,neutral
outdated,strongneg
shows,neutral
view,neutral
maximizing,strongpos
unable,strongneg
reasons,strongpos
actual,neutral
agree,weakpos
pretty,weakpos
much,neutral
should,neutral
better,strongpos
ENTIRE,neutral
SCREWED,strongneg
allow,weakpos
eliminate,strongneg
Real,weakpos
wondering,strongpos
helping,weakpos
facilitate,weakpos
chaos,strongneg
great,weakpos
reform,strongpos
affordable,strongpos
transparency,neutral
direct,neutral
needs,neutral
Democratic,weakpos
guilty,strongneg
actually,neutral
interested,strongpos
Still,neutral
