Candidate,Total S.D.E.s*,Pct.,,Pledged delegates Del.
Biden Joseph R. Biden Jr.,"117,552",38.7%,,21
Sanders Bernie Sanders,"77,302",25.4%,,13
Bloomberg Michael R. Bloomberg,"42,243",13.9%,,2
Warren Elizabeth Warren,"40,676",13.4%,,1
Klobuchar Amy Klobuchar,"6,728",2.2%,,0
Buttigieg Pete Buttigieg,"5,113",1.7%,,0
Gabbard Tulsi Gabbard,"5,106",1.7%,,0
Steyer Tom Steyer,"2,006",0.7%,,0
Yang Andrew Yang,"1,993",0.7%,,0
Booker Cory Booker,"1,529",0.5%,,0
Bennet Michael Bennet,"1,272",0.4%,,0
Williamson Marianne Williamson,"1,158",0.4%,,0
Patrick Deval Patrick,679,0.2%,,0
Castro Julián Castro,620,0.2%,,0
