date,bennet,biden,bloomberg,buttigieg,gabbard,klobuchar,patrick,sanders,steyer,warren,yang
2020-02-11,0,12.0,20.0,0,0,0,0,14.0,0,8.0,0
2020-02-12,0,12.0,20.0,0,0,0,0,14.0,0,8.0,0
2020-02-13,0,12.0,20.0,0,0,0,0,14.0,0,8.0,0
2020-02-17,0,21.0,20.0,0,0,0,0,13.0,0,9.0,0
2020-02-18,0,21.0,20.0,0,0,0,0,13.0,0,9.0,0
2020-02-19,0,21.0,20.0,0,0,0,0,13.0,0,9.0,0
2020-02-20,0,21.0,20.0,0,0,0,0,13.0,0,9.0,0
2020-02-21,0,21.0,20.0,0,0,0,0,13.0,0,9.0,0
2020-02-28,0,35.0,19.0,0,0,0,0,28.0,0,16.0,0
2020-02-29,0,35.0,19.0,0,0,0,0,28.0,0,16.0,0
2020-03-01,0,35.0,19.0,0,0,0,0,28.0,0,16.0,0
2020-03-02,0,35.0,19.0,0,0,0,0,28.0,0,16.0,0
