Word,Polarity
miraculously,strongpos
would,neutral
urge,strongpos
endorse,strongpos
Splitting,weakneg
just,strongpos
hurting,strongneg
progressive,weakpos
know,neutral
well,strongpos
moderate,weakpos
Could,neutral
Primary,neutral
Look,neutral
Disaster,strongneg
needed,neutral
false,weakneg
disaster,strongneg
enable,weakpos
Holy,weakpos
Crumbles,strongneg
looking,neutral
bad,strongneg
think,neutral
real,weakpos
significant,weakpos
fine,strongpos
,neutral
like,strongpos
fake,strongneg
Black,weakneg
endorsements,strongpos
too,strongneg
even,weakpos
could,neutral
trying,weakneg
primary,neutral
help,weakpos
urging,strongpos
activists,neutral
Democratic,weakpos
boost,strongpos
Maybe,neutral
crushed,strongneg
against,weakneg
therefore,neutral
yes,weakpos
trouble,strongneg
black,weakneg
endorsement,strongpos
clearer,weakpos
Please,strongpos
okay,strongpos
still,neutral
proved,neutral
swing,neutral
must,neutral
democratic,weakpos
right,weakpos
reason,strongpos
really,neutral
Just,strongpos
should,neutral
open,weakpos
easily,strongpos
affect,neutral
So,neutral
sick,strongneg
tired,weakneg
shake,strongneg
wanted,strongpos
sure,weakpos
so,neutral
cheat,strongneg
glad,strongpos
craziness,strongneg
white,weakpos
scrutiny,neutral
fallout,strongneg
excluding,weakneg
weak,strongneg
ineffective,strongneg
hopes,strongpos
lost,strongneg
Big,neutral
moved,neutral
stupid,strongneg
important,weakpos
hope,strongpos
needs,neutral
endless,strongneg
point,neutral
differences,neutral
truly,strongpos
dead,strongneg
much,neutral
want,strongpos
support,strongpos
idea,neutral
Realistically,weakpos
mired,strongneg
scandal,strongneg
endorsing,strongpos
definitely,weakpos
such,neutral
champions,strongpos
free,strongpos
loses,strongneg
manageable,strongpos
Blames,strongneg
Comments,neutral
