Candidate,Total S.D.E.s*,Pct.,Pledged delegates Del.
Biden Joseph R. Biden Jr.,"256,111",48.4%,
Sanders Bernie Sanders,"105,226",19.9%,
Steyer Tom Steyer,"59,917",11.3%,
Buttigieg Pete Buttigieg,"43,612",8.2%,
Warren Elizabeth Warren,"37,353",7.1%,
Klobuchar Amy Klobuchar,"16,678",3.2%,
Gabbard Tulsi Gabbard,"6,755",1.3%,
Yang Andrew Yang,"1,046",0.2%,
Bennet Michael Bennet,753,0.1%,
Booker Cory Booker,643,0.1%,
Delaney John Delaney,350,0.1%,
Patrick Deval Patrick,275,0.1%,
Others Others,"26,500",5.0%,
