date,bennet,biden,bloomberg,buttigieg,gabbard,klobuchar,patrick,sanders,steyer,warren,yang
2020-02-09,0,24.0,0,7.0,1.0,5.0,0,19.0,0,6.0,0
2020-02-10,0,24.0,0,7.0,1.0,5.0,0,19.0,0,6.0,0
2020-02-11,0,24.0,0,7.0,1.0,5.0,0,19.0,0,6.0,0
2020-02-12,0,24.5,0,10.25,1.75,7.25,0,20.75,0,8.25,0
2020-02-13,0,24.5,0,10.25,1.75,7.25,0,20.75,0,8.25,0
2020-02-14,0,23.333333333333332,0,11.0,2.0,7.333333333333333,0,21.0,0,8.666666666666666,0
2020-02-15,0,23.5,0,9.0,2.5,7.0,0,20.0,0,8.5,0
2020-02-16,0,23.5,0,9.0,2.5,7.0,0,20.0,0,8.5,0
2020-02-17,0,27.333333333333332,0,8.666666666666666,2.3333333333333335,6.0,0,17.666666666666668,0,8.333333333333334,0
2020-02-18,0,27.25,0,8.75,2.5,5.75,0,19.0,0,8.25,0
2020-02-19,0,28.666666666666668,0,8.0,2.0,4.666666666666667,0,18.333333333333332,0,7.333333333333333,0
2020-02-20,0,30.0,0,9.0,2.0,4.333333333333333,0,19.666666666666668,0,9.333333333333334,0
2020-02-21,0,30.0,0,9.0,2.0,4.333333333333333,0,19.666666666666668,0,9.333333333333334,0
2020-02-22,0,31.5,0,9.0,1.5,4.0,0,18.0,0,10.0,0
2020-02-23,0,34.24285714285714,0,8.9,3.042857142857143,3.957142857142857,0,20.900000000000002,0,8.142857142857142,0
2020-02-24,0,34.24285714285714,0,8.9,3.042857142857143,3.957142857142857,0,20.900000000000002,0,8.142857142857142,0
2020-02-25,0,34.54,0,9.86,2.66,4.54,0,20.46,0,8.2,0
2020-02-26,0,37.339999999999996,0,11.26,2.8600000000000003,5.34,0,24.259999999999998,0,7.2,0
2020-02-27,0,37.339999999999996,0,11.26,2.8600000000000003,5.34,0,24.259999999999998,0,7.2,0
