Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,posemo,negemo,anx,anger,sad,tentat,certain,achieve,focuspast,focusfuture,work,money
klobuchar.txt,1,3535,88.62,61.26,36.47,75.17,32.73,28.40,57.79,3.22,0.57,0.14,0.14,0.11,1.78,0.42,2.66,0.82,1.33,1.95,0.68
gabbard.txt,1,299,88.21,56.65,11.24,57.39,33.22,30.10,54.18,2.01,0.33,0.00,0.00,0.00,1.67,0.67,0.67,0.00,0.33,1.34,0.00
patrick.txt,1,583,95.91,68.44,10.74,67.89,29.15,30.87,43.57,3.26,1.03,0.17,0.86,0.00,0.17,2.92,0.86,0.17,0.00,4.12,0.00
warren.txt,1,11258,93.26,64.95,30.41,39.93,28.07,26.62,56.27,2.30,1.51,0.84,0.29,0.10,0.99,0.53,1.34,0.91,1.18,2.19,0.95
buttigieg.txt,1,5021,92.09,58.50,16.25,50.29,32.39,32.62,52.90,2.49,1.18,0.06,0.28,0.44,0.94,0.34,2.23,1.21,1.04,3.58,1.06
steyer.txt,1,9438,94.82,65.97,19.55,38.59,32.77,26.29,50.29,1.68,0.96,0.13,0.50,0.14,1.18,0.57,2.12,0.81,0.81,3.16,1.84
bloomberg.txt,1,6846,93.67,66.83,17.20,47.08,29.64,31.11,53.97,2.37,1.21,0.09,0.58,0.16,1.30,0.79,1.94,1.11,1.30,2.79,0.86
yang.txt,1,1838,85.04,67.41,2.97,52.29,22.14,26.82,48.20,2.61,1.20,0.44,0.49,0.11,0.82,0.49,1.52,2.07,1.58,1.14,0.33
biden.txt,1,51689,94.63,60.46,35.23,36.30,31.35,26.73,50.82,1.73,1.13,0.21,0.43,0.20,1.27,0.35,2.71,0.78,1.18,2.68,0.24
sanders.txt,1,32901,96.77,61.06,35.03,56.36,30.58,29.35,47.63,2.25,0.63,0.09,0.15,0.14,0.92,0.32,2.88,0.54,0.79,2.81,0.20
