Candidate,Total S.D.E.s*,Pct.,,Pledged delegates Del.
Biden Joseph R. Biden Jr.,"215,005",41.7%,,33
Sanders Bernie Sanders,"128,688",25.0%,,19
Bloomberg Michael R. Bloomberg,"79,638",15.5%,,10
Warren Elizabeth Warren,"53,555",10.4%,,1
Buttigieg Pete Buttigieg,"17,051",3.3%,,0
Klobuchar Amy Klobuchar,"10,645",2.1%,,0
Gabbard Tulsi Gabbard,"2,292",0.4%,,0
Steyer Tom Steyer,"1,980",0.4%,,0
Bennet Michael Bennet,"1,882",0.4%,,0
Yang Andrew Yang,"1,097",0.2%,,0
Booker Cory Booker,978,0.2%,,0
Williamson Marianne Williamson,498,0.1%,,0
Delaney John Delaney,379,0.1%,,0
Patrick Deval Patrick,326,0.1%,,0
Castro Julián Castro,239,0.0%,,0
Uncommitted Uncommitted,"1,187",0.2%,,0
