Candidate,Total S.D.E.s*,Pct.,,Pledged delegates Del.
Biden Joseph R. Biden Jr.,"716,030",34.5%,,111
Sanders Bernie Sanders,"622,360",30.0%,,102
Bloomberg Michael R. Bloomberg,"298,262",14.4%,,10
Warren Elizabeth Warren,"237,028",11.4%,,5
Buttigieg Pete Buttigieg,"82,221",4.0%,,0
Klobuchar Amy Klobuchar,"43,027",2.1%,,0
Castro Julián Castro,"16,844",0.8%,,0
Steyer Tom Steyer,"13,801",0.7%,,0
Bennet Michael Bennet,"10,408",0.5%,,0
Gabbard Tulsi Gabbard,"8,695",0.4%,,0
Yang Andrew Yang,"6,673",0.3%,,0
De La Fuente III Roque De La Fuente III,"5,590",0.3%,,0
Booker Cory Booker,"4,914",0.2%,,0
Williamson Marianne Williamson,"3,902",0.2%,,0
Delaney John Delaney,"3,277",0.2%,,0
Wells Robby Wells,"1,514",0.1%,,0
Patrick Deval Patrick,"1,316",0.1%,,0
