date,bennet,biden,bloomberg,buttigieg,gabbard,klobuchar,patrick,sanders,steyer,warren,yang
2020-02-11,0,20.0,12.0,0,3.0,0,0,20.0,0,17.0,0
2020-02-12,0,20.0,15.0,0,3.5,0,0,21.5,0,15.5,0
2020-02-13,0,20.0,15.0,0,3.5,0,0,21.5,0,15.5,0
2020-02-14,0,20.0,15.0,0,3.5,0,0,21.5,0,15.5,0
2020-02-15,0,20.0,15.0,0,3.5,0,0,21.5,0,15.5,0
2020-02-16,0,20.0,15.0,0,3.5,0,0,21.5,0,15.5,0
2020-02-17,0,19.666666666666668,17.0,0,2.6666666666666665,0,0,24.0,0,13.666666666666666,0
2020-02-18,0,19.666666666666668,17.0,0,2.6666666666666665,0,0,24.0,0,13.666666666666666,0
2020-02-19,0,19.0,21.0,0,1.0,0,0,29.0,0,10.0,0
2020-02-20,0,19.0,21.0,0,1.0,0,0,29.0,0,10.0,0
2020-02-21,0,19.5,20.5,0,1.0,0,0,27.5,0,10.5,0
2020-02-22,0,19.666666666666668,19.666666666666668,0,0.6666666666666666,0,0,28.0,0,12.0,0
2020-02-23,0,19.8,19.0,0,0.8,0,0,29.6,0,11.8,0
2020-02-24,0,19.8,19.0,0,0.8,0,0,29.6,0,11.8,0
2020-02-25,0,19.8,19.0,0,0.8,0,0,29.6,0,11.8,0
2020-02-26,0,19.8,19.0,0,0.8,0,0,29.6,0,11.8,0
2020-02-27,0,22.0,16.333333333333332,0,0.6666666666666666,0,0,31.333333333333332,0,13.333333333333334,0
2020-02-28,0,28.0,17.0,0,1.0,0,0,29.166666666666668,0,15.5,0
2020-02-29,0,27.5,16.75,0,1.5,0,0,29.625,0,15.125,0
2020-03-01,0,28.0,18.0,0,2.0,0,0,29.5,0,14.5,0
2020-03-02,0,29.0,19.0,0,1.5,0,0,28.75,0,14.75,0
