Poll,Date,Sample,Sanders,Biden,Bloomberg,Warren,Buttigieg,Klobuchar,Gabbard,Steyer,Spread
Final Results,--,--,30.0,34.5,14.4,11.4,4.0,2.1,0.4,0.7,Biden +4.5
RCP Average,2/28 - 3/2,--,29.5,28.0,18.0,14.5,4.5,3.5,2.0,,Sanders +1.5
Data for Progress (D)DFP (D),2/28 - 3/2,300 LV,28,30,20,15,4,3,1,--,Biden +2
EmersonEmerson,2/29 - 3/1,450 LV,31,26,16,14,5,4,3,2,Sanders +5
CBS News/YouGovCBS News,2/27 - 2/29,635 LV,30,26,13,17,6,6,0,1,Sanders +4
Data for Progress (D)DFP (D),2/23 - 2/27,513 LV,30,21,21,13,9,5,1,1,Sanders +9
NBC News/MaristNBC/Marist,2/23 - 2/27,556 LV,34,19,15,10,8,3,1,1,Sanders +15
CNNCNN,2/22 - 2/26,387 LV,29,20,18,15,8,3,0,1,Sanders +9
Univision/U. of HoustonUnivision,2/21 - 2/26,527 LV,26,20,20,11,6,2,1,2,Sanders +6
Dallas Morning NewsDMN,2/17 - 2/26,586 LV,29,19,21,10,8,4,1,1,Sanders +8
UMass LowellUMLowell,2/12 - 2/18,600 LV,23,20,18,14,7,9,4,--,Sanders +3
University of HoustonU. of Houston,2/6 - 2/18,1352 LV,20,20,12,17,11,7,3,1,Tie
UT/Texas TribuneUT/ TX Tribune,1/31 - 2/9,575 RV,24,22,10,15,7,3,2,--,Sanders +2
Dallas Morning NewsDMN,1/21 - 1/30,381 LV,18,34,16,17,4,3,1,2,Biden +16
Texas LyceumTexas Lyceum,1/10 - 1/19,401 LV,26,28,9,13,6,4,2,2,Biden +2
CNNCNN,12/4 - 12/8,327 LV,15,35,5,13,9,1,1,--,Biden +20
UT/Texas TribuneUT/ TX Tribune,10/18 - 10/27,1200 LV,12,23,--,18,6,2,2,1,Biden +5
QuinnipiacQuinnipiac,9/4 - 9/9,456 RV,12,28,--,18,3,2,0,0,Biden +10
Texas LyceumTexas Lyceum,8/16 - 8/25,358 LV,13,24,--,15,3,3,1,0,Biden +6
DMN/EmersonDMN/Emerson,8/1 - 8/3,400 LV,16,28,--,14,7,0,1,0,Biden +9
CBS News/YouGovCBS News,7/9 - 7/18,910 LV,12,27,--,16,4,1,1,0,Biden +10
UT/Texas TribuneUT/ TX Tribune,5/31 - 6/9,483 LV,12,23,--,14,8,1,3,--,Biden +8
QuinnipiacQuinnipiac,5/29 - 6/4,407 RV,15,30,--,11,3,0,0,--,Biden +14
EmersonEmerson,4/25 - 4/28,342 RV,17,23,--,7,8,3,0,--,Biden +1
