Word,Polarity
Hmm,neutral
hmm,neutral
natural,strongpos
best,weakpos
Serious,weakneg
straight,weakpos
yawned,strongneg
know,neutral
please,strongpos
love,strongpos
react,neutral
help,weakpos
lose,strongneg
support,strongpos
holy,weakpos
‘lying,strongneg
humiliated,strongneg
Just,strongpos
clear,strongpos
scared,strongneg
despite,weakneg
well,strongpos
idea,neutral
disturbing,strongneg
comments,neutral
Humiliating,strongneg
Lying,strongneg
black,weakneg
Black,weakneg
artificial,weakneg
would,neutral
sure,weakpos
Wrong,strongneg
great,weakpos
looked,neutral
corruption,strongneg
wrong,strongneg
just,strongpos
want,strongpos
else,neutral
Demanding,both
right,weakpos
so,neutral
obnoxious,strongneg
insults,strongneg
lying,strongneg
huge,neutral
misses,weakneg
Top,weakpos
attack,strongneg
like,strongpos
belief,neutral
massive,neutral
disastrous,strongneg
‘Rational,weakpos
Protect,strongpos
Idiot,strongneg
doubt,strongneg
need,weakneg
sob,strongneg
deal,strongpos
knowing,neutral
sinister,strongneg
rat,strongneg
delusional,strongneg
false,weakneg
Democratic,weakpos
‘Too,strongneg
Much,neutral
Panic,strongneg
refusing,strongneg
primary,neutral
should,neutral
DEEP,neutral
accepting,weakpos
dark,strongneg
(illegally,strongneg
Even,weakpos
Abuse,strongneg
above,weakpos
tried,weakneg
cut,weakneg
security,weakpos
benefits,strongpos
fat,weakneg
ugly,strongneg
disagreed,weakneg
better,strongpos
Blatant,strongneg
attacking,strongneg
needs,neutral
lectures,weakneg
decency,strongpos
honor,strongpos
even,weakpos
unqualified,strongneg
inexperienced,strongneg
tiny,weakneg
problems,strongneg
interest,strongpos
abysmal,strongneg
exceeded,strongpos
popular,weakpos
blatant,strongneg
fraud,strongneg
Normal,strongpos
actually,neutral
hypocrite,strongneg
concern,strongneg
bastard,strongneg
moral,weakpos
outrage,strongneg
honest,strongpos
least,weakneg
disgusting,strongneg
cancer,strongneg
truly,strongpos
despicable,strongneg
So,neutral
rich,weakpos
think,neutral
sexy,strongpos
appeal,weakpos
worried,strongneg
point,neutral
seems,neutral
viable,strongpos
supporter,strongpos
wanted,strongpos
maybe,neutral
conspired,strongneg
clog,strongneg
Worthless,strongneg
supporters,strongpos
too,strongneg
