Candidate,Total S.D.E.s*,Pct.,,Pledged delegates Del.
Sanders Bernie Sanders,"75,985",35.5%,,13
Biden Joseph R. Biden Jr.,"39,629",18.5%,,5
Warren Elizabeth Warren,"34,869",16.3%,,0
Bloomberg Michael R. Bloomberg,"33,555",15.7%,,2
Buttigieg Pete Buttigieg,"18,610",8.7%,,0
Klobuchar Amy Klobuchar,"7,551",3.5%,,0
Gabbard Tulsi Gabbard,"1,649",0.8%,,0
Yang Andrew Yang,915,0.4%,,0
Steyer Tom Steyer,696,0.3%,,0
Williamson Marianne Williamson,216,0.1%,,0
Castro Julián Castro,154,0.1%,,0
Booker Cory Booker,135,0.1%,,0
De La Fuente III Roque De La Fuente III,124,0.1%,,0
Bloxham Nathan Bloxham,69,0.0%,,0
Patrick Deval Patrick,54,0.0%,,0
Bennet Michael Bennet,0,0.0%,,0
