Word,Polarity
accepting,weakpos
help,weakpos
dark,strongneg
(illegally,strongneg
Lewd,strongneg
Joke,weakpos
views,neutral
look,neutral
know,neutral
support,strongpos
star,weakpos
attack,strongneg
dissent,weakneg
popular,weakpos
ridiculous,strongneg
should,neutral
just,strongpos
little,weakneg
wilted,strongneg
admitted,weakpos
black,weakneg
wanted,strongpos
correctly,weakpos
moved,neutral
though,neutral
hope,strongpos
exceeds,strongpos
expectations,neutral
so,neutral
negative,strongneg
comments,neutral
laugh,weakneg
mending,strongpos
condone,strongpos
Okay,strongpos
jam,strongneg
independent,strongpos
problems,strongneg
want,strongpos
good,strongpos
Awesome,strongpos
sad,strongneg
blind,strongneg
deceit,strongneg
really,neutral
evil,strongneg
trying,weakneg
reason,strongpos
Wow,weakpos
spoil,strongneg
uniform,weakpos
stiff,strongneg
believe,neutral
(oh,neutral
war,weakneg
surprising,neutral
(considering,neutral
honestly,strongpos
knew,neutral
idiot,strongneg
backed,weakpos
idiots,strongneg
Maybe,neutral
hell,strongneg
normal,strongpos
agree,weakpos
worried,strongneg
overt,neutral
lack,strongneg
transparency,neutral
cheat,strongneg
Hopefully,strongpos
Great,weakpos
stupid,strongneg
breaking,strongneg
LIES,strongneg
enough,neutral
criticizing,strongneg
Democratic,weakpos
primary,neutral
warfare,strongneg
problem,strongneg
WAR,weakneg
supports,strongpos
However,neutral
think,neutral
would,neutral
very,neutral
low,strongneg
actually,neutral
discord,strongneg
reasons,strongpos
most,neutral
important,weakpos
moving,neutral
sure,weakpos
fault,weakneg
needs,neutral
