Candidate,Total S.D.E.s*,Pct.,,Pledged delegates Del.
Sanders Bernie Sanders,"80,121",50.8%,,11
Biden Joseph R. Biden Jr.,"34,734",22.0%,,5
Warren Elizabeth Warren,"19,816",12.6%,,0
Bloomberg Michael R. Bloomberg,"14,843",9.4%,,0
Buttigieg Pete Buttigieg,"3,714",2.4%,,0
Klobuchar Amy Klobuchar,"2,023",1.3%,,0
Gabbard Tulsi Gabbard,"1,298",0.8%,,0
Yang Andrew Yang,589,0.4%,,0
Steyer Tom Steyer,205,0.1%,,0
Williamson Marianne Williamson,144,0.1%,,0
Patrick Deval Patrick,140,0.1%,,0
Greenstein Mark Greenstein,107,0.1%,,0
Castro Julián Castro,52,0.0%,,0
