Word,Polarity
accepting,weakpos
help,weakpos
dark,strongneg
(illegally,strongneg
Lewd,strongneg
Joke,weakpos
views,neutral
look,neutral
know,neutral
support,strongpos
star,weakpos
should,neutral
popular,weakpos
ridiculous,strongneg
attack,strongneg
dissent,weakneg
just,strongpos
little,weakneg
wilted,strongneg
admitted,weakpos
black,weakneg
wanted,strongpos
correctly,weakpos
moved,neutral
though,neutral
hope,strongpos
exceeds,strongpos
expectations,neutral
so,neutral
negative,strongneg
comments,neutral
laugh,weakneg
mending,strongpos
condone,strongpos
Okay,strongpos
jam,strongneg
want,strongpos
good,strongpos
independent,strongpos
problems,strongneg
Awesome,strongpos
sad,strongneg
blind,strongneg
deceit,strongneg
really,neutral
evil,strongneg
(oh,neutral
Maybe,neutral
hell,strongneg
normal,strongpos
trying,weakneg
reason,strongpos
Wow,weakpos
spoil,strongneg
uniform,weakpos
stiff,strongneg
believe,neutral
war,weakneg
surprising,neutral
(considering,neutral
honestly,strongpos
knew,neutral
idiot,strongneg
backed,weakpos
idiots,strongneg
breaking,strongneg
LIES,strongneg
enough,neutral
criticizing,strongneg
stupid,strongneg
agree,weakpos
worried,strongneg
overt,neutral
lack,strongneg
transparency,neutral
cheat,strongneg
Hopefully,strongpos
Great,weakpos
actually,neutral
discord,strongneg
However,neutral
would,neutral
reasons,strongpos
most,neutral
important,weakpos
moving,neutral
primary,neutral
Democratic,weakpos
supports,strongpos
sure,weakpos
fault,weakneg
needs,neutral
warfare,strongneg
problem,strongneg
WAR,weakneg
think,neutral
very,neutral
low,strongneg
