Candidate,Total S.D.E.s*,Pct.,,Pledged delegates Del.
Biden Joseph R. Biden Jr.,"705,800",53.2%,,66
Sanders Bernie Sanders,"306,024",23.1%,,31
Warren Elizabeth Warren,"142,470",10.7%,,2
Bloomberg Michael R. Bloomberg,"129,784",9.8%,,0
Gabbard Tulsi Gabbard,"11,279",0.9%,,0
Buttigieg Pete Buttigieg,"11,190",0.8%,,0
Klobuchar Amy Klobuchar,"8,413",0.6%,,0
Yang Andrew Yang,"3,364",0.3%,,0
Booker Cory Booker,"1,957",0.1%,,0
Bennet Michael Bennet,"1,731",0.1%,,0
Steyer Tom Steyer,"1,587",0.1%,,0
Castro Julián Castro,933,0.1%,,0
Williamson Marianne Williamson,925,0.1%,,0
Patrick Deval Patrick,381,0.0%,,0
