date,bennet,biden,bloomberg,buttigieg,gabbard,klobuchar,patrick,sanders,steyer,warren,yang
2020-02-11,0,22.0,13.0,0,0,0,0,17.0,0,8.0,0
2020-02-12,0,22.0,13.0,0,0,0,0,17.0,0,8.0,0
2020-02-13,0,20.0,17.5,0,1.0,0,0,19.5,0,6.5,0
2020-02-14,0,20.0,17.5,0,1.0,0,0,19.5,0,6.5,0
2020-02-15,0,20.0,17.5,0,1.0,0,0,19.5,0,6.5,0
2020-02-16,0,20.0,17.5,0,1.0,0,0,19.5,0,6.5,0
2020-02-17,0,22.0,13.0,0,0,0,0,17.0,0,8.0,0
2020-02-18,0,22.0,13.0,0,0,0,0,17.0,0,8.0,0
2020-02-19,0,22.0,13.0,0,0,0,0,17.0,0,8.0,0
2020-02-20,0,22.0,13.0,0,0,0,0,17.0,0,8.0,0
2020-02-21,0,22.0,13.0,0,0,0,0,17.0,0,8.0,0
2020-02-22,0,22.0,13.0,0,0,0,0,17.0,0,8.0,0
2020-02-23,0,20.5,15.0,0,1.0,0,0,22.5,0,12.5,0
2020-02-24,0,19.0,17.0,0,1.0,0,0,28.0,0,17.0,0
2020-02-25,0,19.0,17.0,0,1.0,0,0,28.0,0,17.0,0
2020-02-28,0,40.5,16.0,0,1.0,0,0,24.25,0,16.0,0
2020-02-29,0,40.5,16.0,0,1.0,0,0,24.25,0,16.0,0
2020-03-01,0,42.0,14.0,0,1.0,0,0,24.5,0,15.0,0
2020-03-02,0,42.0,14.0,0,1.0,0,0,24.5,0,15.0,0
