Word,Polarity
So,neutral
suppress,strongneg
lying,strongneg
felt,neutral
humiliated,strongneg
Much,neutral
thinks,neutral
good,strongpos
bad,strongneg
Oh,neutral
goodness,strongpos
very,neutral
believe,neutral
Maybe,neutral
look,neutral
too,strongneg
Good,strongpos
really,neutral
Democratic,weakpos
derision,strongneg
rivals,weakneg
illegal,strongneg
,strongpos
so,neutral
Despite,weakneg
show,neutral
elites,strongpos
would,neutral
ruin,strongneg
fact,neutral
escapades,weakneg
lawless,strongneg
much,neutral
likely,neutral
even,weakpos
true,strongpos
rather,neutral
risk,weakneg
dictator,strongneg
want,strongpos
attitude,neutral
real,weakpos
support,strongpos
lain,strongneg
wish,weakpos
love,strongpos
mending,strongpos
war,weakneg
Innovative,strongpos
feel,neutral
fear,strongneg
most,neutral
destroyed,strongneg
traitors,strongneg
need,neutral
damage,strongneg
sure,weakpos
argument,weakneg
against,weakneg
scare,strongneg
little,weakneg
able,weakpos
bitching,strongneg
threatening,strongneg
reason,strongpos
seems,neutral
pundits,weakpos
seem,neutral
forgotten,weakneg
racist,strongneg
truth,strongpos
hard,strongneg
Looks,neutral
hassle,strongneg
actually,neutral
ridiculous,strongneg
antiquated,weakneg
unfortunately,strongneg
primary,neutral
limiting,weakneg
like,strongpos
viable,strongpos
opponent,strongneg
deeply,neutral
concerning,strongneg
could,neutral
force,strongneg
great,weakpos
Thank,strongpos
VERY,neutral
moderate,weakpos
disappointed,strongneg
knocking,strongneg
funny,strongpos
famous,strongpos
important,weakpos
encouraged,strongpos
