Candidate,Total S.D.E.s*,Pct.,,Pledged delegates Del.
Biden Joseph R. Biden Jr.,"583,967",37.9%,,46
Sanders Bernie Sanders,"562,445",36.5%,,43
Warren Elizabeth Warren,"141,784",9.2%,,0
Bloomberg Michael R. Bloomberg,"121,718",7.9%,,0
Buttigieg Pete Buttigieg,"62,992",4.1%,,0
Klobuchar Amy Klobuchar,"33,184",2.2%,,0
Gabbard Tulsi Gabbard,"13,027",0.8%,,0
Yang Andrew Yang,"6,335",0.4%,,0
Steyer Tom Steyer,"3,425",0.2%,,0
Bennet Michael Bennet,"2,017",0.1%,,0
Booker Cory Booker,"1,299",0.1%,,0
Delaney John Delaney,568,0.0%,,0
Patrick Deval Patrick,500,0.0%,,0
Uncommitted Uncommitted,"6,363",0.4%,,0
